GameRound, P1_choice, P1_score, P2_choice, P2_score, GameValue
132,None,59,1,205,118
133,1,60,None,205,119
133,None,60,1,206,120
134,1,61,None,206,121
134,None,61,1,207,122
135,0,61,None,208,122
135,None,61,0,209,122
136,1,62,None,209,123
136,None,62,1,210,124
137,1,63,None,210,125
137,None,63,1,211,126
138,0,63,None,212,126
138,None,63,0,213,126
139,0,63,None,214,126
139,None,63,0,215,126
140,0,63,None,216,126
140,None,63,0,217,126
141,0,63,None,218,126
141,None,63,0,219,126
142,1,64,None,219,127
142,None,64,1,220,128
143,1,65,None,220,129
143,None,65,1,221,130
144,0,65,None,222,130
144,None,65,0,223,130
145,1,66,None,223,131
145,None,66,1,224,132
146,0,66,None,225,132
146,None,66,0,226,132
147,1,67,None,226,133
147,None,67,1,227,134
148,0,67,None,228,134
148,None,67,0,229,134
149,0,67,None,230,134
149,None,67,0,231,134
150,0,67,None,232,134
150,None,67,0,233,134
151,1,68,None,233,135
151,None,68,1,234,136
152,0,68,None,235,136
152,None,68,0,236,136
153,1,69,None,236,137
153,None,69,1,237,138
154,1,70,None,237,139
154,None,70,1,238,140
155,0,70,None,239,140
155,None,70,0,240,140
156,1,71,None,240,141
156,None,71,1,241,142
157,0,71,None,242,142
157,None,71,0,243,142
158,1,72,None,243,143
158,None,72,1,244,144
159,1,73,None,244,145
159,None,73,1,245,146
160,1,74,None,245,147
160,None,74,1,246,148
161,0,74,None,247,148
161,None,74,0,248,148
162,1,75,None,248,149
162,None,75,1,249,150
163,1,76,None,249,151
163,None,76,1,250,152
164,1,77,None,250,153
164,None,77,1,251,154
165,0,77,None,252,154
165,None,77,0,253,154
166,1,78,None,253,155
166,None,78,1,254,156
167,1,79,None,254,157
167,None,79,1,255,158
168,0,79,None,256,158
168,None,79,0,257,158
169,1,80,None,257,159
169,None,80,1,258,160
170,1,81,None,258,161
170,None,81,1,259,162
171,1,82,None,259,163
171,None,82,1,260,164
172,1,83,None,260,165
172,None,83,1,261,166
173,1,84,None,261,167
173,None,84,1,262,168
174,1,85,None,262,169
174,None,85,1,263,170
175,0,85,None,264,170
175,None,85,0,265,170
176,1,86,None,265,171
176,None,86,1,266,172
177,0,86,None,267,172
177,None,86,0,268,172
178,1,87,None,268,173
178,None,87,1,269,174
179,0,87,None,270,174
179,None,87,0,271,174
180,1,88,None,271,175
180,None,88,1,272,176
181,1,89,None,272,177
181,None,89,1,273,178
182,0,89,None,274,178
182,None,89,0,275,178
183,0,89,None,276,178
183,None,89,0,277,178
184,0,89,None,278,178
184,None,89,0,279,178
185,1,90,None,279,179
185,None,90,1,280,180
186,1,91,None,280,181
186,None,91,1,281,182
187,1,92,None,281,183
187,None,92,1,282,184
188,1,93,None,282,185
188,None,93,1,283,186
189,0,93,None,284,186
189,None,93,0,285,186
190,1,94,None,285,187
190,None,94,1,286,188
191,0,94,None,287,188
191,None,94,0,288,188
192,0,94,None,289,188
192,None,94,0,290,188
193,1,95,None,290,189
193,None,95,1,291,190
194,0,95,None,292,190
194,None,95,0,293,190
195,1,96,None,293,191
195,None,96,1,294,192
196,1,97,None,294,193
196,None,97,1,295,194
197,0,97,None,296,194
197,None,97,0,297,194
198,1,98,None,297,195
198,None,98,1,298,196
199,1,99,None,298,197
199,None,99,1,299,198
200,0,99,None,300,198
200,None,99,0,301,198
201,1,100,None,301,199
201,None,100,1,302,200
202,0,100,None,303,200
202,None,100,0,304,200
203,0,100,None,305,200
203,None,100,0,306,200
204,1,101,None,306,201
204,None,101,1,307,202
205,1,102,None,307,203
205,None,102,1,308,204
206,1,103,None,308,205
206,None,103,1,309,206
207,0,103,None,310,206
207,None,103,0,311,206
208,0,103,None,312,206
208,None,103,0,313,206
209,1,104,None,313,207
209,None,104,1,314,208
210,1,105,None,314,209
210,None,105,1,315,210
211,0,105,None,316,210
211,None,105,0,317,210
212,1,106,None,317,211
212,None,106,1,318,212
213,1,107,None,318,213
213,None,107,1,319,214
214,0,107,None,320,214
214,None,107,0,321,214
215,1,108,None,321,215
215,None,108,1,322,216
216,0,108,None,323,216
216,None,108,0,324,216
217,0,108,None,325,216
217,None,108,0,326,216
218,1,109,None,326,217
218,None,109,1,327,218
219,0,109,None,328,218
219,None,109,0,329,218
220,1,110,None,329,219
220,None,110,1,330,220
221,1,111,None,330,221
221,None,111,1,331,222
222,0,111,None,332,222
222,None,111,0,333,222
223,1,112,None,333,223
223,None,112,1,334,224
224,1,113,None,334,225
224,None,113,1,335,226
225,0,113,None,336,226
225,None,113,0,337,226
226,0,113,None,338,226
226,None,113,0,339,226
227,0,113,None,340,226
227,None,113,0,341,226
228,0,113,None,342,226
228,None,113,0,343,226
229,0,113,None,344,226
229,None,113,0,345,226
230,1,114,None,345,227
230,None,114,1,346,228
231,1,115,None,346,229
231,None,115,1,347,230
232,1,116,None,347,231
232,None,116,1,348,232
233,0,116,None,349,232
233,None,116,0,350,232
234,0,116,None,351,232
234,None,116,0,352,232
235,0,116,None,353,232
235,None,116,0,354,232
236,1,117,None,354,233
236,None,117,1,355,234
237,0,117,None,356,234
237,None,117,0,357,234
238,0,117,None,358,234
238,None,117,0,359,234
239,1,118,None,359,235
239,None,118,1,360,236
240,0,118,None,361,236
240,None,118,0,362,236
241,1,119,None,362,237
241,None,119,1,363,238
242,0,119,None,364,238
242,None,119,0,365,238
243,1,120,None,365,239
243,None,120,1,366,240
244,0,120,None,367,240
244,None,120,0,368,240
245,0,120,None,369,240
245,None,120,0,370,240
