26, 1, 0, 0, 0, 0, 0, 0, 0, 0, 75, 2, 0, 0, 0, 0, 0, 0, 0, 0, 59, 1, 0, 0, 0, 0, 0, 0, 0, 0, 93, 1, 0, 0, 0, 0, 0, 0, 0, 0, 56, 1, 84, 1, 86, 1, 49, 1, 80, 3, 9, 1, 33, 5, 17, 1, 8, 1, 36, 1, 10, 0, 7, 0
26, 1, 0, 0, 0, 0, 0, 0, 0, 0, 75, 2, 0, 0, 0, 0, 0, 0, 0, 0, 59, 1, 0, 0, 0, 0, 0, 0, 0, 0, 93, 1, 0, 0, 0, 0, 0, 0, 0, 0, 50, 3, 46, 1, 103, 1, 98, 1, 7, 1, 99, 5, 67, 1, 92, 1, 19, 1, 12, 1, 10, 0, 4, 1
7, 1, 17, 1, 0, 0, 0, 0, 0, 0, 75, 2, 0, 0, 0, 0, 0, 0, 0, 0, 59, 1, 0, 0, 0, 0, 0, 0, 0, 0, 93, 1, 0, 0, 0, 0, 0, 0, 0, 0, 56, 1, 84, 1, 86, 1, 49, 1, 80, 3, 9, 1, 33, 5, 8, 1, 36, 1, 0, 0, 9, 0, 0, 0
7, 1, 17, 1, 0, 0, 0, 0, 0, 0, 75, 2, 0, 0, 0, 0, 0, 0, 0, 0, 59, 1, 0, 0, 0, 0, 0, 0, 0, 0, 93, 1, 0, 0, 0, 0, 0, 0, 0, 0, 50, 3, 46, 1, 103, 1, 98, 1, 99, 5, 67, 1, 92, 1, 19, 1, 12, 1, 0, 0, 9, 1, 1, 1
7, 1, 17, 1, 46, 1, 56, 1, 0, 0, 75, 2, 0, 0, 0, 0, 0, 0, 0, 0, 59, 1, 0, 0, 0, 0, 0, 0, 0, 0, 93, 1, 0, 0, 0, 0, 0, 0, 0, 0, 84, 1, 86, 1, 49, 1, 80, 3, 9, 1, 33, 5, 8, 1, 36, 1, 0, 0, 0, 0, 8, 0, 2, 2
7, 1, 17, 1, 46, 1, 56, 1, 0, 0, 75, 2, 0, 0, 0, 0, 0, 0, 0, 0, 59, 1, 0, 0, 0, 0, 0, 0, 0, 0, 93, 1, 0, 0, 0, 0, 0, 0, 0, 0, 50, 3, 103, 1, 98, 1, 99, 5, 67, 1, 92, 1, 19, 1, 12, 1, 0, 0, 0, 0, 8, 1, 5, 1
7, 1, 17, 1, 46, 1, 56, 1, 0, 0, 49, 1, 0, 0, 0, 0, 0, 0, 0, 0, 59, 1, 92, 1, 0, 0, 0, 0, 0, 0, 93, 1, 0, 0, 0, 0, 0, 0, 0, 0, 84, 1, 86, 1, 80, 3, 9, 1, 33, 5, 8, 1, 36, 1, 0, 0, 0, 0, 0, 0, 7, 2, 0, 2
7, 1, 17, 1, 46, 1, 56, 1, 0, 0, 49, 1, 0, 0, 0, 0, 0, 0, 0, 0, 59, 1, 92, 1, 0, 0, 0, 0, 0, 0, 93, 1, 0, 0, 0, 0, 0, 0, 0, 0, 50, 3, 103, 1, 98, 1, 99, 5, 67, 1, 19, 1, 12, 1, 0, 0, 0, 0, 0, 0, 7, 1, 0, 1
7, 1, 17, 1, 46, 1, 56, 1, 84, 1, 49, 1, 50, 3, 0, 0, 0, 0, 0, 0, 59, 1, 92, 1, 0, 0, 0, 0, 0, 0, 93, 1, 0, 0, 0, 0, 0, 0, 0, 0, 86, 1, 80, 3, 9, 1, 33, 5, 8, 1, 36, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 1, 2
7, 1, 17, 1, 46, 1, 56, 1, 84, 1, 49, 1, 50, 3, 0, 0, 0, 0, 0, 0, 59, 1, 92, 1, 0, 0, 0, 0, 0, 0, 93, 1, 0, 0, 0, 0, 0, 0, 0, 0, 103, 1, 98, 1, 99, 5, 67, 1, 19, 1, 12, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 1, 1
