GameRound, P1_choice, P1_score, P2_choice, P2_score, GameValue
132,None,63,0,201,126
133,0,63,None,202,126
133,None,63,0,203,126
134,0,63,None,204,126
134,None,63,0,205,126
135,1,64,None,205,127
135,None,64,1,206,128
136,0,64,None,207,128
136,None,64,0,208,128
137,1,65,None,208,129
137,None,65,1,209,130
138,1,66,None,209,131
138,None,66,1,210,132
139,0,66,None,211,132
139,None,66,0,212,132
140,0,66,None,213,132
140,None,66,0,214,132
141,0,66,None,215,132
141,None,66,0,216,132
142,0,66,None,217,132
142,None,66,0,218,132
143,0,66,None,219,132
143,None,66,0,220,132
144,1,67,None,220,133
144,None,67,1,221,134
145,1,68,None,221,135
145,None,68,1,222,136
146,1,69,None,222,137
146,None,69,1,223,138
147,0,69,None,224,138
147,None,69,0,225,138
148,0,69,None,226,138
148,None,69,0,227,138
149,0,69,None,228,138
149,None,69,0,229,138
150,1,70,None,229,139
150,None,70,1,230,140
151,1,71,None,230,141
151,None,71,1,231,142
152,0,71,None,232,142
152,None,71,0,233,142
153,0,71,None,234,142
153,None,71,0,235,142
154,1,72,None,235,143
154,None,72,1,236,144
155,0,72,None,237,144
155,None,72,0,238,144
156,0,72,None,239,144
156,None,72,0,240,144
157,0,72,None,241,144
157,None,72,0,242,144
158,1,73,None,242,145
158,None,73,1,243,146
159,1,74,None,243,147
159,None,74,1,244,148
160,0,74,None,245,148
160,None,74,0,246,148
161,1,75,None,246,149
161,None,75,1,247,150
162,0,75,None,248,150
162,None,75,0,249,150
163,1,76,None,249,151
163,None,76,1,250,152
164,1,77,None,250,153
164,None,77,1,251,154
165,0,77,None,252,154
165,None,77,0,253,154
166,1,78,None,253,155
166,None,78,1,254,156
167,0,78,None,255,156
167,None,78,0,256,156
168,0,78,None,257,156
168,None,78,0,258,156
169,1,79,None,258,157
169,None,79,1,259,158
170,0,79,None,260,158
170,None,79,0,261,158
171,0,79,None,262,158
171,None,79,0,263,158
172,0,79,None,264,158
172,None,79,0,265,158
173,0,79,None,266,158
173,None,79,0,267,158
174,1,80,None,267,159
174,None,80,1,268,160
175,1,81,None,268,161
175,None,81,1,269,162
176,1,82,None,269,163
176,None,82,1,270,164
177,0,82,None,271,164
177,None,82,0,272,164
178,0,82,None,273,164
178,None,82,0,274,164
179,1,83,None,274,165
179,None,83,1,275,166
180,1,84,None,275,167
180,None,84,1,276,168
181,0,84,None,277,168
181,None,84,0,278,168
182,1,85,None,278,169
182,None,85,1,279,170
183,0,85,None,280,170
183,None,85,0,281,170
184,1,86,None,281,171
184,None,86,1,282,172
185,1,87,None,282,173
185,None,87,1,283,174
186,0,87,None,284,174
186,None,87,0,285,174
187,1,88,None,285,175
187,None,88,1,286,176
188,1,89,None,286,177
188,None,89,1,287,178
189,1,90,None,287,179
189,None,90,1,288,180
190,0,90,None,289,180
190,None,90,0,290,180
191,0,90,None,291,180
191,None,90,0,292,180
192,0,90,None,293,180
192,None,90,0,294,180
193,1,91,None,294,181
193,None,91,1,295,182
194,0,91,None,296,182
